Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Status Category
FT85 -  Verify Customer Fund Transfer - Payees Account Number must not be blank,NNB-106,10105,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:28,9/14/2023 14:47,9/14/2023 18:27,,,0,Verify that the payee's account number field does not allow blank entries.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,, The system should display an error message indicating that the payee's account number is required.,,,,,0|i000n3:,,,,,,,,,System,Leave the payee's account number field blank and attempt to initiate a fund transfer.,,,,,To Do
FT84  - Verify Customer Fund Transfer - Characters are not allowed,NNB-105,10104,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:28,9/14/2023 14:46,9/14/2023 18:25,,,0,Verify that the payer's account number field does not allow characters.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,The system should display an error message indicating that characters are not allowed.,,,,,0|i000mv:,,,,,,,,,System,"Enter ""ABCD1234"" in the payer's account number field and attempt to initiate a fund transfer.",,,,,To Do
FT83 - Verify Customer Fund Transfer -  Special characters are not allowed,NNB-104,10103,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:27,9/14/2023 14:45,9/14/2023 18:27,,,0,Verify that the payer's account number field does not allow special characters.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,The system should display an error message indicating that special characters are not allowed.,,,,,0|i000mn:,,,,,,,,,System,"Enter ""1234@567"" in the payer's account number field and attempt to initiate a fund transfer.
Expected Result: The system shoul",,,,,To Do
FT82 - Verify Customer Fund Transfer - Payers Account Number must not be blank,NNB-103,10102,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:27,9/14/2023 14:39,9/14/2023 18:27,,,0,Verify that the payer's account number field does not allow blank entries.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,The system should display an error message indicating that the payer's account number is required.,,,,,0|i000mf:,,,,,,,,,System,Leave the payer's account number field blank and attempt to initiate a fund transfer.,,,,,To Do
EC81 - Verify Customer  Email : First character cannot have space,NNB-102,10101,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:27,9/14/2023 14:36,9/14/2023 18:27,,,0,Verify that the customer email field does not allow a space as the first character.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,The customer email field should display an error message.,,,,,0|i000m7:,,,,,,,,,System," Enter "" blabla@email.com"" in the customer email field.",,,,,To Do
EC80  - Verify Customer Email : Email ID is not valid,NNB-101,10100,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:27,9/14/2023 14:34,9/14/2023 18:27,,,0,Verify that the customer email field does not accept invalid email addresses.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,The customer email field should display an error message indicating that the email is not valid.,,,,,0|i000lz:,,,,,,,,,System,"Enter ""invalid-email"" in the customer email field.",,,,,To Do
EC79  - Verify Customer Email : Email ID must not be blank,NNB-100,10099,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:27,9/14/2023 14:32,9/14/2023 18:27,,,0, Verify that the customer email field does not allow blank entries.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,The form should display an error message indicating that the email is required.,,,,,0|i000lr:,,,,,,,,,System,Leave the customer email field blank and attempt to submit the form.,,,,,To Do
EC78 - Verify Customer Telephone Number - First character cannot have space,NNB-99,10098,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:26,9/14/2023 14:30,9/14/2023 18:27,,,0,Verify that the customer telephone number field does not allow a space as the first character.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,The customer telephone number field should display an error message.,,,,,0|i000lj:,,,,,,,,,System,"Enter "" 1234567890"" in the customer telephone number field.",,,,,To Do
EC77  - Verify Customer Telephone Number  – Character are not allowed,NNB-98,10097,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:26,9/14/2023 14:29,9/14/2023 18:27,,,0,Verify that the customer telephone number field does not allow characters.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,, The customer telephone number field should display an error message.,,,,,0|i000lb:,,,,,,,,,System,"Enter ""ABC1234567"" in the customer telephone number field.",,,,,To Do
EC76  - Verify Customer Telephone Number  – Special character are not allowed,NNB-97,10096,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:26,9/14/2023 14:28,9/14/2023 18:27,,,0,Verify that the customer telephone number field does not allow special characters.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,The customer telephone number field should display an error message.,,,,,0|i000l3:,,,,,,,,,System,"Enter ""123-456-7890"" in the customer telephone number field.",,,,,To Do
EC75 -  Verify Customer Telephone Number – Mobile no must not be blank,NNB-96,10095,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:26,9/14/2023 14:26,9/14/2023 18:27,,,0,Verify that the customer telephone number field does not allow blank entries for mobile numbers.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,Biểu mẫu sẽ hiển thị thông báo lỗi cho biết số điện thoại di động là bắt buộc.,,,,,0|i000kv:,,,,,,,,,System,Leave the customer telephone number field blank and attempt to submit the form.,,,,,To Do
EC74  - Verify Customer Pin - First character cannot have space,NNB-95,10094,Bug,Open,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:26,9/14/2023 18:02,9/14/2023 18:02,,,0,Verify that the customer PIN field does not allow a space as the first character.,,huytqse160495,Pham Duc Tai,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,14/Sep/23 2:23 PM;712020:4548e914-f537-4fbb-b9b8-5924b0b321c9;image-20230914-072348.png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10071,The customer PIN field does not show an error message,,,,,,,,,,,,,The customer PIN field should display an error message.,,,,,0|i000kn:,,,,,,,,,System,"Enter "" 123456"" in the customer PIN field.",Fail,,23:53.0,"14/Sep/23 2:23 PM;712020:4548e914-f537-4fbb-b9b8-5924b0b321c9;!image-20230914-072348.png|width=686,height=296!",To Do
EC73 -  Verify Customer Pin – PIN Code must have 6 Digits,NNB-94,10093,Bug,Open,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:25,9/14/2023 18:02,9/14/2023 18:03,,,0,Verify that the customer PIN field requires exactly 6 digits.,,huytqse160495,Pham Duc Tai,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,14/Sep/23 2:21 PM;712020:4548e914-f537-4fbb-b9b8-5924b0b321c9;image-20230914-072140.png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10070,The customer PIN field does not show an error message indicating that the code requires 6 digits.,,,,,,,,,,,,,The customer PIN field should display an error message indicating that it requires 6 digits.,,,,,0|i000kf:,,,,,,,,,System,"Enter ""12345"" in the customer PIN field.",Fail,,21:44.6,"14/Sep/23 2:21 PM;712020:4548e914-f537-4fbb-b9b8-5924b0b321c9;!image-20230914-072140.png|width=545,height=205!",To Do
EC72  - Verify Customer Pin – Special characters are not allowed,NNB-93,10092,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:25,9/14/2023 18:03,9/14/2023 18:03,9/14/2023 18:03,,0,Verify that the customer PIN field does not allow special characters.,,huytqse160495,Pham Duc Tai,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,14/Sep/23 10:58 AM;712020:4548e914-f537-4fbb-b9b8-5924b0b321c9;image-20230914-035805.png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10069,The customer PIN field displayed an error message.,,,,,,,,,,,,,The customer PIN field should display an error message.,,,,,0|i000k7:,,,,,,,,,System,"Enter ""123@456"" in the customer PIN field.",Pass,,58:22.5,"14/Sep/23 10:58 AM;712020:4548e914-f537-4fbb-b9b8-5924b0b321c9;!image-20230914-035805.png|width=770,height=254!",Done
EC71.1 - Verify Customer  Pin - PIN Code must not be blank,NNB-92,10091,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:25,9/14/2023 18:03,9/14/2023 18:03,9/14/2023 18:03,,0,Verify that the customer PIN field does not allow blank entries.,,huytqse160495,Pham Duc Tai,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,14/Sep/23 10:55 AM;712020:4548e914-f537-4fbb-b9b8-5924b0b321c9;image-20230914-035457.png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10068,The form displayed an error message indicating that the customer PIN field is required.,,,,,,,,,,,,,The form should display an error message indicating that the customer PIN field is required.,,,,,0|i000jz:,,,,,,,,,System,Leave the customer PIN field blank and attempt to submit the form.,Pass,,55:03.0,"14/Sep/23 10:55 AM;712020:4548e914-f537-4fbb-b9b8-5924b0b321c9;!image-20230914-035457.png|width=654,height=174!",Done
EC71 - Verify Customer  Pin - Characters are not allowed,NNB-91,10090,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:25,9/14/2023 18:23,9/14/2023 18:03,9/14/2023 18:03,,0,Verify that the customer PIN field does not allow characters.,,huytqse160495,Pham Duc Tai,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,14/Sep/23 10:49 AM;712020:4548e914-f537-4fbb-b9b8-5924b0b321c9;image-20230914-034942.png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10067,The customer PIN field displayed an error message.,,,,,,,,,,,,,The customer PIN field should display an error message.,,,,,0|i000jr:,,,,,,,,,System," Enter ""AAA"" in the customer PIN field.",Pass,,49:48.6,"14/Sep/23 10:49 AM;712020:4548e914-f537-4fbb-b9b8-5924b0b321c9;!image-20230914-034942.png|width=713,height=248!",Done
EC70.1 -  Verify Customer State – First character cannot have space,NNB-90,10089,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:25,9/14/2023 10:38,9/14/2023 18:27,,,0, Verify that the customer state field does not allow a space as the first character.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,The customer state field should display an error message.,,,,,0|i000jj:,,,,,,,,,System,"Enter "" aaa"" in the customer state field.",,,,,To Do
EC70  - Verify Customer State – Special characters are not allowed,NNB-89,10088,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:24,9/14/2023 10:35,9/14/2023 18:03,,,0,Verify that the customer state field does not allow special characters.,,huytqse160495,Pham Duc Tai,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,The customer state field should display an error message.,,,,,0|i000jb:,,,,,,,,,System,"Enter ""$%"" in the customer state field.",Skip,,,,To Do
EC69 -  Verify Customer State - State must not be blank,NNB-87,10086,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:22,9/14/2023 10:34,9/14/2023 18:27,,,0,Verify that the state field does not allow blank entries.,,huytqse160495,Pham Duc Tai,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,The form should display an error message indicating that the state field is required.,,,,,0|i000j3:,,,,,,,,,System, Leave the state field blank and attempt to submit the form.,Skip,,,,To Do
EC68 -  Verify Customer State – Numbers are not allowed,NNB-86,10085,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:22,9/14/2023 10:30,9/14/2023 18:27,,,0,Verify that the state field does not allow input with numbers.,,huytqse160495,Pham Duc Tai,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,The state field should display an error message.,,,,,0|i000iv:,,,,,,,,,System,"Enter ""123"" in the state field.",Skip,,,,To Do
EC67 -  Verify Customer City - First character can not have space,NNB-85,10084,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:22,9/14/2023 10:31,9/14/2023 18:27,,,0,Verify that the city field rejects input with a space as the first character.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,The city field should display an error message.,,,,,0|i000in:,,,,,,,,,System," Enter "" San Francisco"" in the city field.",Skip,,,,To Do
EC66  - Verify Customer City – Numbers are not allowed,NNB-84,10083,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Ho Tan Thanh (K16 HCM),712020:3a386211-06ed-477f-801a-8c7478786c66,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:22,9/13/2023 21:29,9/14/2023 18:27,,,0,"Verify that the customer form correctly validates and displays an error message when numbers are entered in the ""City"" field.",,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,"-The system should prevent the entry of numbers and should not allow the form to proceed with the incorrect data.
-An error message should be displayed near the ""City"" field, indicating that numbers are not allowed. ",,,,,0|i000if:,,,,,,,,,," Enter a city name with numbers in the ""City"" field.",,,,,To Do
EC65  - Verify Customer City - City Field must not be blank,NNB-83,10082,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Ho Tan Thanh (K16 HCM),712020:3a386211-06ed-477f-801a-8c7478786c66,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:21,9/13/2023 21:29,9/14/2023 18:03,,,0,"Verify that the customer form correctly validates and displays an error message when the ""City"" field is left blank.",,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,"The system should prevent the submission of the form when the ""City"" field is left blank and should display an error message indicating that the ""City"" must not be blank.",,,,,0|i000i7:,,,,,,,,,,"Leave the ""City"" field blank.",,,,,To Do
EC64  - Verify Customer City - Special character are not allowed,NNB-82,10081,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Ho Tan Thanh (K16 HCM),712020:3a386211-06ed-477f-801a-8c7478786c66,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:21,9/13/2023 21:29,9/14/2023 18:27,,,0,"Verify that the customer form correctly validates and displays an error message when special characters are entered in the ""Address"" field.",,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,"
-The system should prevent the entry of special characters and should not allow the form to proceed with the incorrect data.
-An error message should be displayed near the ""Address"" field, indicating that special characters are not allowed.",,,,,0|i000hz:,,,,,,,,,,"Enter an address with special characters in the ""Address"" field.",,,,,To Do
EC63 -  Verify Customer Address - Special characters are not allowed,NNB-81,10080,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Ho Tan Thanh (K16 HCM),712020:3a386211-06ed-477f-801a-8c7478786c66,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:19,9/13/2023 21:28,9/14/2023 18:27,,,0,"Verify that the customer form correctly validates and displays an error message when special characters are entered in the ""Address"" field.",,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,"-The system should prevent the entry of special characters and should not allow the form to proceed with the incorrect data.
-An error message should be displayed near the ""Address"" field, indicating that special characters are not allowed.",,,,,0|i000hr:,,,,,,,,,,"Enter an address with special characters in the ""Address"" field.",,,,,To Do
EC62 -  Address - First character can not have space,NNB-80,10079,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Ho Tan Thanh (K16 HCM),712020:3a386211-06ed-477f-801a-8c7478786c66,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:19,9/13/2023 20:55,9/14/2023 18:23,,,0,"Verify that the customer form correctly validates and displays an error message when a space is entered as the first character in the ""Address"" field.",,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,"-The system should prevent the entry of a space as the first character and should not allow the form to proceed with the incorrect data.
-An error message should be displayed near the ""Address"" field, indicating that the first character cannot be a space. ",,,,,0|i000hj:,,,,,,,,,,"Enter an address with a space as the first character in the ""Address"" field.",,,,,To Do
EC61 -  Verify  Customer Address - Address Field must not be blank,NNB-79,10078,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Ho Tan Thanh (K16 HCM),712020:3a386211-06ed-477f-801a-8c7478786c66,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:19,9/13/2023 21:28,9/14/2023 18:27,,,0,"Verify that the customer form correctly validates and displays an error message when the ""Address"" field is left blank.",,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,"The system should prevent the submission of the form when the ""Address"" field is left blank and should display an error message indicating that the ""Address"" must not be blank.",,,,,0|i000hb:,,,,,,,,,,"Leave the ""Address"" field blank.",,,,,To Do
